Business Name,Category,Phone,Website,Address,City,State,ZIP,Rating,Reviews,Google Maps URL
Dove Property Management,Property management company,(360) 448-2851,https://dovepropertymanagement.com/,"14300 SE 1st St Ste. 150, Vancouver, WA 98684",Vancouver,Washington,98684,3.1,117,https://www.google.com/maps/search/?api=1&query=Dove%20Property%20Management&query_place_id=ChIJ9V1cVuKvlVQRU-gKhRS3x7s
Trio Pointe,Apartment rental agency,(855) 643-6598,https://www.triopointe.com/?utm_source=gmb&utm_medium=organic,"19600 NE 3rd St, Camas, WA 98607",Camas,Washington,98607,4.1,117,https://www.google.com/maps/search/?api=1&query=Trio%20Pointe&query_place_id=ChIJ5aWoZz27lVQRrGIfamVQffc
Key Property Services,Property management company,(360) 695-1538,https://www.kpsinc.net/,"7700 NE Greenwood Dr #110, Vancouver, WA 98662",Vancouver,Washington,98662,3.1,110,https://www.google.com/maps/search/?api=1&query=Key%20Property%20Services&query_place_id=ChIJyxnyUJGvlVQR3PlEapnBsW0
Quantum Residential,Property management company,(360) 696-9000,http://www.quantumresidential.com/,"601 E 16th St, Vancouver, WA 98663",Vancouver,Washington,98663,2.2,109,https://www.google.com/maps/search/?api=1&query=Quantum%20Residential&query_place_id=ChIJxQJazLSolVQRHyMGgazLM3g
Sedona at Bridgecreek,Apartment rental agency,(360) 404-7527,https://www.sedonaatbridgecreekliving.com/?funnelleasing=onlinelisting&utm_source=gmb&utm_medium=organic,"2220 NE Bridgecreek Ave, Vancouver, WA 98664",Vancouver,Washington,98664,3.7,107,https://www.google.com/maps/search/?api=1&query=Sedona%20at%20Bridgecreek&query_place_id=ChIJPdso1X2llVQRqO-wbib3fIM
Maple Ridge Apartments,Apartment rental agency,(360) 468-7384,https://www.mapleridgevancouver.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=GBP&utm_medium=organic,"306 NE 104th Ave, Vancouver, WA 98664",Vancouver,Washington,98664,4.4,106,https://www.google.com/maps/search/?api=1&query=Maple%20Ridge%20Apartments&query_place_id=ChIJdfE7qg2llVQRJwTajUs2wU0
The Terrace at River Oaks,Apartment building,(360) 787-3744,https://riveroakscamas.com/,"3009 NE 3rd Ave, Camas, WA 98607",Camas,Washington,98607,4.9,104,https://www.google.com/maps/search/?api=1&query=The%20Terrace%20at%20River%20Oaks&query_place_id=ChIJic_XUVC8lVQRDA7SOSeJzBg
Acero Jensen Park Apartments,Apartment complex,(564) 888-2798,https://www.acerojensenpark.com/,"7714 NE 39th Ct, Vancouver, WA 98665",Vancouver,Washington,98665,4.5,103,https://www.google.com/maps/search/?api=1&query=Acero%20Jensen%20Park%20Apartments&query_place_id=ChIJizqEgaGvlVQRnxVN51YmUSA
Kielo at Grass Valley Apartments,Apartment complex,(360) 216-1275,https://www.kieloapartments.com/,"5988 NW 38th Ave, Camas, WA 98607",Camas,Washington,98607,4.1,102,https://www.google.com/maps/search/?api=1&query=Kielo%20at%20Grass%20Valley%20Apartments&query_place_id=ChIJhxr3sZu7lVQRjEaGsntE7_I
Ashley Terrace,Apartment building,(360) 750-1550,http://www.ashleyterracewa.com/,"4500 Nicholson Rd, Vancouver, WA 98661",Vancouver,Washington,98661,4.1,102,https://www.google.com/maps/search/?api=1&query=Ashley%20Terrace&query_place_id=ChIJEaW-OXKvlVQRsOqAhMOiDW0
Alder Pointe Apartments,Apartment complex,(360) 828-1451,http://www.alderpointe.com/,"1511 SW 15th Ave, Battle Ground, WA 98604",Battle Ground,Washington,98604,4,101,https://www.google.com/maps/search/?api=1&query=Alder%20Pointe%20Apartments&query_place_id=ChIJmbNSlIezlVQRAHz3o9B0Ubk
Cristal Mendez Sanchez Realtor Vancouver Washington,Real estate agency,(360) 921-9159,http://cristalsellsvancouver.com/,"717 W Main St Ste 125, Battle Ground, WA 98604",Battle Ground,Washington,98604,5,93,https://www.google.com/maps/search/?api=1&query=Cristal%20Mendez%20Sanchez%20Realtor%20Vancouver%20Washington&query_place_id=ChIJVVWl4uKvlVQRyyCHvPdiaVA
Leigh Calvert - Cascade Hasson | Sotheby's International Realty,Real estate agency,(360) 909-5371,https://oxfordstreetpartners.com/,"900 Washington St Ste 150, Vancouver, WA 98660",Vancouver,Washington,98660,5,91,https://www.google.com/maps/search/?api=1&query=Leigh%20Calvert%20-%20Cascade%20Hasson%20%7C%20Sotheby's%20International%20Realty&query_place_id=ChIJh9OJS1WplVQRsrkFSp56uds
Donna Roberts Group,Real estate agency,(360) 521-5478,https://www.donnarobertsgroup.com/,"403 NE 5th Ave, Camas, WA 98607",Camas,Washington,98607,4.8,91,https://www.google.com/maps/search/?api=1&query=Donna%20Roberts%20Group&query_place_id=ChIJbzgSpxillVQRZhsVuWM_nkU
Mansy Real Estate Group,Real estate agent,(360) 401-8857,https://www.mansygroup.com/,"612 E 17th St, Vancouver, WA 98663",Vancouver,Washington,98663,4.8,91,https://www.google.com/maps/search/?api=1&query=Mansy%20Real%20Estate%20Group&query_place_id=ChIJ7RC8XAuplVQR9R6U01mJBac
Autumn Grove Apartments,Apartment complex,(360) 226-8515,https://www.autumngrove-apartments.com/?utm_source=apartmentseo&utm_medium=gmb&utm_campaign=organicmaplisting,"8778 NE 54th St, Vancouver, WA 98662",Vancouver,Washington,98662,4,91,https://www.google.com/maps/search/?api=1&query=Autumn%20Grove%20Apartments&query_place_id=ChIJXSLvNqmvlVQRWZjPDGUyKnA
Terra at Hazel Dell,Apartment complex,(360) 859-9524,https://www.terraathazeldell.com/?utm_source=gbp,"2600 NE Minnehaha St, Vancouver, WA 98665",Vancouver,Washington,98665,4,90,https://www.google.com/maps/search/?api=1&query=Terra%20at%20Hazel%20Dell&query_place_id=ChIJu4SSKvmulVQRZffsVK_vMdw
Josh Thomas Real Estate Broker,Real estate agency,(360) 901-2280,http://www.jetyourestate.com/,"15524 SE Mill Plain Blvd Ste 100, Vancouver, WA 98684",Vancouver,Washington,98684,5,89,https://www.google.com/maps/search/?api=1&query=Josh%20Thomas%20Real%20Estate%20Broker&query_place_id=ChIJAQBQ1NaklVQRzYeaxOfaox4
StoneBridge Crossing,Apartment complex,(360) 693-6886,https://stonebridgecrossing.com/,"2301 NE 81st St, Vancouver, WA 98665",Vancouver,Washington,98665,4.3,85,https://www.google.com/maps/search/?api=1&query=StoneBridge%20Crossing&query_place_id=ChIJq9OFv16ulVQR5SJc9N4yT-Y
Veri Vancouver Apartments,Apartment complex,(877) 840-5476,https://www.verivancouver.com/,"8011 NE Fourth Plain Blvd, Vancouver, WA 98662",Vancouver,Washington,98662,3.9,85,https://www.google.com/maps/search/?api=1&query=Veri%20Vancouver%20Apartments&query_place_id=ChIJq4sFDY-vlVQRChNCPrLQAMk
Meritum Evergreen Apartments,Apartment complex,(360) 334-5667,https://www.meritumevergreen.com/,"1441 NE 136th Ave, Vancouver, WA 98684",Vancouver,Washington,98684,4,83,https://www.google.com/maps/search/?api=1&query=Meritum%20Evergreen%20Apartments&query_place_id=ChIJTZo_lE6llVQR4ClOAPInkYc
Bagley Estates Apartments,Apartment complex,(971) 348-3040,http://bagleyestatesvancouver.com/,"4201 E 4th Plain Blvd, Vancouver, WA 98661",Vancouver,Washington,98661,4,80,https://www.google.com/maps/search/?api=1&query=Bagley%20Estates%20Apartments&query_place_id=ChIJC-R2i2WvlVQRljbg8Heh9yM
Blue Key Property Management Inc,Property management company,(360) 524-4994,http://www.bluekeypm.com/,"7017 NE Hwy 99 #216, Vancouver, WA 98665",Vancouver,Washington,98665,3.9,78,https://www.google.com/maps/search/?api=1&query=Blue%20Key%20Property%20Management%20Inc&query_place_id=ChIJrfhN6vGulVQR8dHEvna3qBg
Vancouver Housing Authority,Housing authority,(360) 694-2501,https://vhausa.org/,"2500 Main St STE 100, Vancouver, WA 98660",Vancouver,Washington,98660,3.8,73,https://www.google.com/maps/search/?api=1&query=Vancouver%20Housing%20Authority&query_place_id=ChIJx7GDoDSvlVQRRtTgQ0oYCeI
List4FlatFee,Real estate agency,(425) 344-6779,https://list4flatfee.com/,"330 NE Cedar St #201, Camas, WA 98607",Camas,Washington,98607,4.9,72,https://www.google.com/maps/search/?api=1&query=List4FlatFee&query_place_id=ChIJ___2crivlVQRpMyTxwXDnRQ
Millennium Park Apartments,Apartment complex,(888) 778-3854,https://www.millenniumparkapts.com/?switch_cls[id]=69313&utm_source=businessprofile&utm_medium=search&utm_campaign=general,"621 SE 168th Ave, Vancouver, WA 98684",Vancouver,Washington,98684,4.7,71,https://www.google.com/maps/search/?api=1&query=Millennium%20Park%20Apartments&query_place_id=ChIJWd-Oay27lVQRVEThOpkn8XQ
Villas at Bridge Creek,Apartment complex,(360) 519-2813,http://www.livebridgecreek.com/,"2011 Brandt Rd, Vancouver, WA 98661",Vancouver,Washington,98661,4.2,71,https://www.google.com/maps/search/?api=1&query=Villas%20at%20Bridge%20Creek&query_place_id=ChIJl_QFLGavlVQRvJJrtcuSbBM
The Miller,Apartment complex,(360) 564-1776,https://liveatthemiller.com/?utm_source=llm&utm_medium=organic&utm_campaign=local-listing,"500 W Columbia Way, Vancouver, WA 98660",Vancouver,Washington,98660,4.8,70,https://www.google.com/maps/search/?api=1&query=The%20Miller&query_place_id=ChIJRXKPb5yplVQRp02zxTdwajY
Clark County Volunteer Lawyers Program,Attorney,(360) 695-5313,http://ccvlp.org/,"1104 Main St Ste 1, Vancouver, WA 98660",Vancouver,Washington,98660,3.7,67,https://www.google.com/maps/search/?api=1&query=Clark%20County%20Volunteer%20Lawyers%20Program&query_place_id=ChIJc-tCMLaolVQRKiFHF6A5JRQ
COHO138,Apartment complex,(877) 434-7508,https://www.coho138.com/,"2508 NE 138th Ave, Vancouver, WA 98684",Vancouver,Washington,98684,3.9,65,https://www.google.com/maps/search/?api=1&query=COHO138&query_place_id=ChIJVzzbOUullVQRpGUR3IH13VU
Utmost Property Management,Property management company,(360) 614-3016,http://www.utmostpropertymanagement.com/,"210 W 11th St STE B, Vancouver, WA 98660",Vancouver,Washington,98660,3.9,64,https://www.google.com/maps/search/?api=1&query=Utmost%20Property%20Management&query_place_id=ChIJo5Kjzk67lVQRZi3I0WoBWTg
The Oliveen,Apartment rental agency,(360) 314-2515,https://www.theoliveen.com/?ilm=obl&utm_source=gmb&utm_medium=organic,"19814 SE 1st St, Camas, WA 98607",Camas,Washington,98607,4,64,https://www.google.com/maps/search/?api=1&query=The%20Oliveen&query_place_id=ChIJh-qCc1e7lVQRUYpLUUOCEd4
Casey Apartments,Apartment complex,(360) 839-4911,http://www.livecasey.com/,"5515 NW Pacific Rim Blvd, Camas, WA 98607",Camas,Washington,98607,4.9,63,https://www.google.com/maps/search/?api=1&query=Casey%20Apartments&query_place_id=ChIJE04RO5e7lVQRnzJVU3e84rU
Aria Apartments,Apartment rental agency,(360) 346-9907,https://www.thearialiving.com/?ilm=obl&utm_source=gmb&utm_medium=organic,"636 W 6th St, Vancouver, WA 98660",Vancouver,Washington,98660,4.4,61,https://www.google.com/maps/search/?api=1&query=Aria%20Apartments&query_place_id=ChIJfZCinMKplVQRcjQEgKTv55M
"Josh McCuistion, Keller Williams, Realtor",Real estate agency,(360) 713-2100,https://joshqhomes.com/,"2211 E Mill Plain Blvd #100, Vancouver, WA 98661",Vancouver,Washington,98661,5,61,https://www.google.com/maps/search/?api=1&query=Josh%20McCuistion%2C%20Keller%20Williams%2C%20Realtor&query_place_id=ChIJ3TXaaVGvlVQRyn-tRAs30xg
Properties West 360,Property management company,(360) 574-6143,http://www.propertieswest360.com/,"2200 Broadway St # J, Vancouver, WA 98663",Vancouver,Washington,98663,3.9,61,https://www.google.com/maps/search/?api=1&query=Properties%20West%20360&query_place_id=ChIJZ9WKS2KulVQRS3EKzQAARFg
Adera Apartments,Apartment complex,(877) 426-4771,http://www.liveatadera.com/,"411 Columbia St, Vancouver, WA 98660",Vancouver,Washington,98660,4.6,58,https://www.google.com/maps/search/?api=1&query=Adera%20Apartments&query_place_id=ChIJw_ntlNOplVQRN1VYiB1jz2g
Seasons on the Park,Apartment building,(360) 723-0890,https://seasonsonthepark.com/,"1017 SE 12th Ave, Battle Ground, WA 98604",Battle Ground,Washington,98604,4.6,58,https://www.google.com/maps/search/?api=1&query=Seasons%20on%20the%20Park&query_place_id=ChIJE6UgzWi0lVQRoTQTc8UgB-4
Northwest Management Exclusive Inc.,Property management company,(360) 892-8798,http://www.nwmonline.com/,"11715 NE Crestwood Dr, Vancouver, WA 98684",Vancouver,Washington,98684,2.3,56,https://www.google.com/maps/search/?api=1&query=Northwest%20Management%20Exclusive%20Inc.&query_place_id=ChIJDUfN-M6klVQRXzVaDwMzaWc
Ken Rosengren at Lucido Global Team Portland / Vancouver,Real estate agency,(360) 609-0226,http://kensusanrosengren.pnwpropertypros.com/,"2211 E Mill Plain Blvd #100, Vancouver, WA 98661",Vancouver,Washington,98661,4.9,55,https://www.google.com/maps/search/?api=1&query=Ken%20Rosengren%20at%20Lucido%20Global%20Team%20Portland%20%2F%20Vancouver&query_place_id=ChIJyfcqvcOvlVQRDtyM6Wgs-jY
The Landing at Vancouver,Apartment complex,(360) 839-2551,http://thelandingvancouver.com/,"100 SE Olympia Dr, Vancouver, WA 98684",Vancouver,Washington,98684,3.6,55,https://www.google.com/maps/search/?api=1&query=The%20Landing%20at%20Vancouver&query_place_id=ChIJc3tqUoGllVQRzkvLHfrMeSQ
Eric Sawyer - - The Elevate Group - - Windermere Northwest Living - - Clark County Washington,Real estate agency,(360) 521-8877,http://yourelevategroup.com/,"1401 SE 164th Ave Ste 190, Vancouver, WA 98683",Vancouver,Washington,98683,5,53,https://www.google.com/maps/search/?api=1&query=Eric%20Sawyer%20-%20-%20The%20Elevate%20Group%20-%20-%20Windermere%20Northwest%20Living%20-%20-%20Clark%20County%20Washington&query_place_id=ChIJ3RONLFS7lVQRdzqjxa8Iq2A
River View Apartments,Apartment building,(360) 834-1366,https://riverviewcamas.com/,"3003 NE 3rd Ave, Camas, WA 98607",Camas,Washington,98607,4.3,52,https://www.google.com/maps/search/?api=1&query=River%20View%20Apartments&query_place_id=ChIJeQXkVlC8lVQRQCfymhGf0-Y
Northwest Justice Project Vancouver Office,Law firm,(360) 693-6130,https://nwjustice.org/,"1104 Main St #500, Vancouver, WA 98660",Vancouver,Washington,98660,4.2,50,https://www.google.com/maps/search/?api=1&query=Northwest%20Justice%20Project%20Vancouver%20Office&query_place_id=ChIJSTftp7ColVQR5--qArIar0c
Matin Real Estate,Real estate agency,(503) 622-9624,https://www.matinrealestate.com/?utm_source=gmb&utm_medium=organic,"1220 Main St Ste 400, Vancouver, WA 98660",Vancouver,Washington,98660,4.8,49,https://www.google.com/maps/search/?api=1&query=Matin%20Real%20Estate&query_place_id=ChIJrTmRPpiplVQR2JvdEks2xJc
The Groove,Apartment complex,(360) 696-4721,https://www.thegroovevancouver.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=gmb&utm_medium=organic,"900 NE Minnehaha St, Vancouver, WA 98665",Vancouver,Washington,98665,3.5,48,https://www.google.com/maps/search/?api=1&query=The%20Groove&query_place_id=ChIJ7TPYk-WulVQRIxJF0FRo8lE
"Becky Konat, Keller Williams Realty - Real Estate Broker",Real estate agent,(360) 600-3498,http://konatrealty.com/,"2211 E Mill Plain Blvd, Vancouver, WA 98661",Vancouver,Washington,98661,5,46,https://www.google.com/maps/search/?api=1&query=Becky%20Konat%2C%20Keller%20Williams%20Realty%20-%20Real%20Estate%20Broker&query_place_id=ChIJVzfZ5aavlVQRahCB60vgjP8
